SPEC,PU,PA,BT,UT,RO,FINAL,MODEL1,MODEL2,MODEL3,MODEL5,MODEL6
,478,820,2146,430,74,74,76,77,85,80,79
,438,756,2030,400,74,74,68,71,79,71,71
,458,784,1987,420,78,78,76,78,86,77,76
,494,868,2130,455,72,72,69,71,92,74,74
,454,786,2108,410,71,71,68,70,80,73,72
,424,706,1981,390,82,82,79,81,77,79,78
,452,744,2011,390,86,86,89,88,79,88,88
,420,704,1960,390,73,73,76,79,77,76,76
,410,680,1828,360,79,79,80,80,74,78,77
7351,418,700,1902,370,80,80,77,78,75,76,76
7350,398,678,1866,350,77,77,68,69,70,69,68
7349,420,720,1960,370,69,69,68,69,73,70,70
9083,380,632,1830,348,75,70,72,74,68,71,70
7361,456,780,2112,390,78,78,73,73,76,77,76
7303,420,710,2007,367,73,73,72,72,71,74,73
7302,488,810,2152,448,91,91,93,93,89,94,94
7301,452,744,2011,390,86,86,89,88,79,88,88
7318,434,752,2118,380,72,67,64,65,72,70,69
7317,454,780,2102,420,72,75,71,74,82,75,75
7318,434,752,2118,380,72,72,64,65,72,70,69
6040,432,716,1985,380,86,86,82,82,76,82,81
6041,396,674,1776,347,72,72,70,71,72,69,67
6042,420,716,1812,368,71,71,73,74,77,72,71
6044,410,704,1834,358,72,72,69,70,74,69,67
6045,436,742,1871,360,71,71,76,74,76,75,74
6047,460,776,1952,394,84,84,83,82,82,82,82
6077,440,734,1908,380,86,86,83,83,79,82,81
6078,416,712,1900,368,71,71,69,71,74,70,69
6080,414,684,1937,378,80,80,80,81,75,79,79
6081,440,740,1935,400,79,79,80,82,82,79,79
6082,418,690,1999,380,84,84,80,81,74,80,80
6189,446,740,2030,390,83,83,84,84,78,85,84
6285,482,794,2163,446,91,91,94,95,88,95,95
6286,478,806,2006,420,86,86,86,86,87,86,85
6288,462,794,2163,416,91,91,72,73,80,76,76
6659,376,654,2170,336,48,48,53,53,56,61,60
6839,520,872,2258,486,95,95,94,95,97,97,97
6892,474,804,2136,435,81,81,80,82,86,83,82
6894,422,716,2003,370,72,72,71,72,72,74,73
7301,452,744,2011,390,86,86,89,88,79,88,88
7359,436,756,1985,390,75,66,67,69,78,70,69
7270,450,770,1995,415,75,75,74,77,84,76,75
7359,436,756,1985,390,75,75,67,69,78,70,69
,450,770,1995,410,75,78,74,76,83,76,75
7302,488,796,2149,420,91,101,100,98,84,100,101
997205,464,780,2165,420,88,87,81,82,81,84,84
7347,406,712,1918,360,71,71,60,61,71,63,62
7318,434,752,2118,380,72,72,64,65,72,70,69
7362,450,768,2168,410,83,83,72,74,78,77,76
7352,428,710,2018,380,80,80,80,81,74,81,80
7359,436,756,1985,390,75,75,67,69,78,70,69
7408,430,710,2050,358,82,86,81,79,69,83,82
7411,450,744,2000,360,82,84,87,83,73,87,86
7406,434,714,2012,390,80,80,84,85,77,85,84
7405,466,783,2150,390,85,85,82,80,76,84,84
7280,428,738,1940,360,82,82,68,68,73,70,69
7413,422,716,2103,370,72,73,70,70,69,74,73
7412,504,840,2183,446,84,84,95,93,90,96,96
7407,450,742,2089,390,82,82,86,86,76,87,87
7435,422,716,2004,370,70,76,71,72,72,74,73
7429,454,770,2000,400,77,77,78,79,81,79,79
9084,402,680,1826,340,68,68,72,71,70,71,70
2800,464,810,2000,408,82,82,69,70,84,72,71
7410,528,888,2262,486,90,90,95,95,98,97,98
7225,382,632,1830,348,75,75,74,76,69,73,72
